Hardworking Rank,State,Composite Hardworking Score,Agrees with Brian
1,North Dakota,67.68,1
2,Alaska,65.47,3
3,South Dakota,61.44,3
4,Nebraska,61.44,2
5,Wyoming,61.42,2
6,Texas,58.77,6
7,Virginia,55.69,6
8,Colorado,55.24,10
9,Kansas,55.22,2
10,Hawaii,54.88,7
11,Maryland,54.88,6
12,Iowa,54.08,2
13,Georgia,54.03,6
14,Oklahoma,53.77,2
15,New Hampshire,53.21,4
16,Tennessee,53.04,4
17,Idaho,49.95,2
18,Missouri,49.81,3
19,Mississippi,49.3,6
20,Louisiana,48.3,7
21,Alabama,48.17,6
22,Indiana,48.06,3
23,Minnesota,47.58,4
24,Montana,46.56,4
25,Maine,46.16,6
26,South Carolina,45.69,7
27,North Carolina,45.66,8
28,Utah,45.41,5
29,Arizona,44.75,10
30,Arkansas,44.31,3
31,Florida,43.6,7
32,Wisconsin,42.37,6
33,New Jersey,42.31,5
34,Kentucky,41.48,3
35,California,41.08,8
36,Washington,40.8,6
37,Delaware,40.74,6
38,Vermont,39.93,7
39,Massachusetts,38.93,7
40,Illinois,38.82,5
41,Pennsylvania,38.03,8
42,Oregon,36.75,6
43,Rhode Island,36.36,5
44,Ohio,36.24,5
45,Nevada,35.62,7
46,Connecticut,35.04,5
47,Michigan,34.38,7
48,West Virginia,34.34,6
49,New York,33.94,6
50,New Mexico,33.24,7